Created Date,Complaint Type,Incident Zip
01/01/2014 12:00:00 AM,PAINT - PLASTER,11203
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10461
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,NONCONST,10467
01/01/2014 12:00:00 AM,ELECTRIC,10467
01/01/2014 12:00:00 AM,ELECTRIC,11203
01/01/2014 12:00:00 AM,GENERAL CONSTRUCTION,10451
01/01/2014 12:00:00 AM,GENERAL CONSTRUCTION,10451
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,11203
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,PAINT - PLASTER,10467
01/01/2014 12:00:00 AM,HEATING,10461
01/01/2014 12:00:00 AM,HEATING,11203
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,HEATING,10451
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,11203
01/01/2014 12:00:00 AM,NONCONST,11203
01/01/2014 12:00:00 AM,PLUMBING,11203
01/01/2014 12:00:00 AM,PLUMBING,10467
01/01/2014 12:00:00 AM,ELECTRIC,11203
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,11203
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,HEATING,10467
01/01/2014 12:00:00 AM,HEATING,10457
01/01/2014 12:00:00 AM,HEATING,10461
01/01/2014 12:00:00 AM,GENERAL CONSTRUCTION,10451
01/01/2014 12:00:00 AM,GENERAL CONSTRUCTION,11203
